Cluster,Name,ELO
2,4empechement,2522.0
8,AFRUZA Khamdamova,2682.0
7,Aadit Bhatia,2528.0
8,Aaditya Dhingra,2694.0
7,Aakaash Meduri,2519.0
2,Aakash G,2675.0
7,Aansh Nandan Nerurkar,2647.0
2,Aaradhya Das,2479.0
7,Aarav Dengla,2871.0
9,Aarav Sinha,2602.0
7,Aaravamudhan Balaji,2689.0
7,Aarit Kapil,2731.0
6,Aaron Bendayan Claros,2583.0
2,Aaron Cooper,2287.0
5,Aaron Jacobson,3062.0
7,Aaron Matthes,2516.0
7,Aaron Mendes,2804.0
2,Abdimalik Abdisalimov,2783.0
9,Abdulla Gadimbayli,2831.0
9,Abhimanyu Puranik,2989.0
7,Abigail Zhou,2282.0
4,Abtin Atakhan,2923.0
7,Adam Collins,2540.0
4,Adam Gibała,2731.0
7,Adam Kozak,3045.0
9,Adam Kujawski,2406.0
7,Adam Mekhane,2531.0
6,Adani Clarke,2267.0
9,Adar TARHAN,2828.0
7,Adham Fawzy,2973.0
7,Adham_Hossam2011,2327.0
7,Adi Menahem,2523.0
1,Aditya Mittal,3004.0
7,Aditya S Samant,2908.0
7,Aditya Varun Gampa,2687.0
7,Adnan Sitnic,2392.0
7,Adrian Antonio Garcia Garcia,2531.0
7,Adrian Gschnitzer,2540.0
7,Adrian Martinez Fernandez,2586.0
7,Adrian Suarez Uriel,2487.0
1,Adán Rios Escobar,2371.0
1,Aghasiyev Kamal,2646.0
2,Agustin Ambrogi,2545.0
2,Agustin Fuentes,2298.0
8,Ahmad Ahmadzada,2961.0
7,Ahmad Al khatib,2726.0
8,Ahmed Kandil,2718.0
7,Ahn Hongjin,2750.0
6,Aiaru Altynbek,2555.0
6,Airat Sadubayev,2715.0
7,Aisen Mestnikov,2378.0
7,Ajay Karthikeyan,2806.0
2,Akeem Brown,2422.0
2,Akhmedov_David,2777.0
7,Aksel Bu Kvaloy,2924.0
5,Akshay Borgaonkar,2833.0
2,Akylbek2021,2503.0
2,Al-Saffar Araz Basim,2564.0
2,Alain Fayard,2309.0
7,Alain Otero Marino,2645.0
7,Alain Prieto Aranguren,2266.0
2,Alan Morris-Suzuki,2694.0
4,Alan Pichot,3007.0
7,Alba De Lomas Busquets,2356.0
3,Alban alban1987@hotmail.com,2110.0
7,Albert Fishman,2304.0
1,Alberto Barp,2711.0
7,Alberto Fabris,2251.0
7,Alberto Guzman Moneo,2347.0
7,Alberto Martin Fuentes,2786.0
7,Alberto Santos Flores,2550.0
2,Aleexeey Sueetin,2458.0
2,Alejandro Castellanos Gómez,2525.0
3,Alejandro Castellanos Villela,2802.0
9,Alejandro Cosoi Scherzer,2084.0
2,Alejandro Cuellar Montes,2562.0
4,Alejandro Domingo Nunez,2632.0
1,Alejandro Garcia Garcia,2624.0
2,Alejandro González Vega,2341.0
2,Alejandro Pacheco,2577.0
7,Alejandro Uzcategui Rodriguez,2527.0
6,Alekhine Nouri,2832.0
8,Aleksa Micic,2380.0
1,Aleksa Petrovic,2732.0
2,Aleksandar Indjic,2998.0
2,Aleksandar Topalov,2382.0
2,Aleksander Hnydiuk,2529.0
7,Aleksander Kumala,2553.0
2,Aleksandr Devaev,2547.0
7,Aleksandr Domalchuk-Jonasson,2817.0
2,Aleksandr Ivanov,2339.0
7,Aleksandr Lenderman,2913.0
7,Aleksandr Rakhmanov,2912.0
5,Aleksandr Shimanov,3053.0
7,Aleksandr Usov,2966.0
2,Aleksandra Goryachkina,2720.0
7,Aleksandra Lach,2489.0
2,Aleksandra Maltsevskaya,2797.0
2,Aleksandra Tarnowska,2157.0
1,Aleksandras Jegorovas,2603.0
2,Aleksei Belov,2678.0
7,Aleksei Pridorozhni,2866.0
1,Aleksei Sarana,3204.0
