Name,Tactical_Style_Score,Rank_Percentile,IForest_Pct,ELO
Ali Farahat,1.0,1.0,1.0,2616.0
Ivan Provotorov,0.9993320964749537,0.9996289424860854,0.9988868274582561,2569.0
Николай Хныкин,0.9992578849721707,0.9992578849721707,0.9992578849721707,2201.0
ChessyInstinct,0.9982931354359926,0.9988868274582561,0.9974025974025974,2341.0
Emilio Cordova,0.9983673469387755,0.9985157699443413,0.9981447124304267,2890.0
Raja Rithvik R,0.9987384044526901,0.9981447124304267,0.9996289424860854,2919.0
Haik Martirosyan,0.9980705009276438,0.997773654916512,0.9985157699443413,3001.0
Daniel Chan,0.9947309833024118,0.9974025974025974,0.9907235621521335,2818.0
Shawn Rodrigue-Lemieux,0.9970315398886828,0.9970315398886828,0.9970315398886828,2903.0
Erick Zhao,0.9963636363636363,0.9966604823747681,0.9959183673469387,2827.0
Alessandro Manzone,0.9962894248608534,0.9962894248608535,0.9962894248608535,2800.0
Christof Sielecki,0.9941372912801484,0.9959183673469387,0.9914656771799629,2608.0
Srishti Pandey,0.9942115027829312,0.9955473098330241,0.9922077922077922,2525.0
Rashad Zeynalli,0.9920593692022263,0.9951762523191094,0.9873840445269016,2763.0
Mariia Berdnyk,0.9955473098330242,0.9948051948051948,0.9966604823747681,2488.0
David Zakarian,0.9944341372912802,0.9944341372912802,0.9944341372912802,2609.0
Vojtěch Plát,0.9928756957328386,0.9940630797773655,0.9910946196660483,2886.0
Pavel Ponkratov,0.9941372912801485,0.9936920222634509,0.9948051948051948,2873.0
Fy Antenaina Rakotomaharo,0.9900556586270872,0.9933209647495361,0.9851576994434137,2781.0
Benny Aizenberg,0.985974025974026,0.9929499072356215,0.9755102040816327,2621.0
Nisha Mohota,0.9878293135435993,0.9925788497217068,0.9807050092764379,2318.0
Michel Bifulco,0.9925046382189239,0.9922077922077922,0.9929499072356215,2364.0
Nad Titus Petre,0.9931725417439703,0.9918367346938776,0.9951762523191094,2610.0
Alex Goldin,0.9922077922077922,0.9914656771799629,0.9933209647495361,2654.0
Julian Antonio Rojas Alarcon,0.9916883116883117,0.9910946196660483,0.9925788497217068,2802.0
Dmitry MIschuk,0.9844897959183674,0.9907235621521335,0.975139146567718,2814.0
kamran SHIRAZI,0.9737291280148423,0.9903525046382189,0.9487940630797773,2540.0
Alikhan Daulet,0.9785528756957328,0.9899814471243042,0.9614100185528757,2709.0
Rodion Radzhabov,0.9899072356215213,0.9896103896103896,0.9903525046382189,2693.0
vesal hamedi nia,0.9893877551020408,0.989239332096475,0.9896103896103896,2462.0
Daniel Gormally,0.9915398886827459,0.9888682745825603,0.9955473098330241,2792.0
Nazar Firman,0.9877551020408164,0.9884972170686457,0.9866419294990724,2589.0
Eduardo Marra,0.9873840445269015,0.9881261595547309,0.9862708719851577,2606.0
Piotr Dobrowolski,0.9821150278293136,0.9877551020408163,0.9736549165120594,2706.0
Thomas Rendle,0.9863450834879406,0.9873840445269016,0.984786641929499,2760.0
Руслан Пахомов,0.9896846011131726,0.987012987012987,0.9936920222634509,2511.0
Vladyslav Baziuk,0.9872356215213358,0.9866419294990724,0.9881261595547309,2800.0
Daniel Titichoca Daza,0.9853803339517625,0.9862708719851577,0.9840445269016698,2580.0
John S. White,0.9906493506493508,0.9858998144712431,0.997773654916512,1948.0
Joakim Nilsson,0.9856771799628943,0.9855287569573283,0.9858998144712431,2631.0
Nitish Belurkar,0.983673469387755,0.9851576994434137,0.9814471243042672,2790.0
Carlos Daniel Albornoz Cabrera,0.9822634508348794,0.984786641929499,0.9784786641929499,2819.0
Aleexeey Sueetin,0.9821892393320966,0.9844155844155844,0.9788497217068646,2458.0
Igor Wilk,0.9880519480519481,0.9840445269016698,0.9940630797773655,2633.0
Semen Mitusov,0.9856029684601113,0.9836734693877551,0.9884972170686457,2709.0
Tanraj Sohal,0.978404452690167,0.9833024118738405,0.9710575139146568,2528.0
Bogdan Belyakov,0.977291280148423,0.9829313543599257,0.9688311688311688,2710.0
Sweafty,0.9807792207792208,0.9825602968460111,0.9781076066790353,2633.0
Evandro Amorim Barbosa,0.9804081632653061,0.9821892393320965,0.9777365491651205,2797.0
Maciej Czopor,0.9846382189239333,0.9818181818181818,0.9888682745825603,2816.0
Babageldi Annaberdiyev,0.9701669758812617,0.9814471243042672,0.9532467532467532,2744.0
Jake Shanty,0.9663821892393321,0.9810760667903525,0.9443413729128015,3079.0
Mukhammadzokhid Suyarov,0.9811502782931354,0.9807050092764379,0.9818181818181818,3094.0
Mikhail Chernov,0.9830055658627087,0.9803339517625231,0.987012987012987,2512.0
Maxime Lagarde,0.972987012987013,0.9799628942486085,0.9625231910946197,3016.0
Tobias Voege,0.9424860853432282,0.9795918367346939,0.8868274582560297,2744.0
Irina Bulmaga,0.9737291280148422,0.9792207792207792,0.9654916512059369,2606.0
Andrey Ivanov,0.9745454545454546,0.9788497217068646,0.9680890538033395,2360.0
Alexander Herbrig,0.935139146567718,0.9784786641929499,0.8701298701298701,2577.0
Mikayel Rostomyan,0.9775139146567718,0.9781076066790353,0.9766233766233766,2819.0
Novendra Priasmoro,0.9759554730983302,0.9777365491651205,0.9732838589981447,2900.0
Fabiano Caruana,0.9782560296846011,0.9773654916512059,0.9795918367346939,3171.0
Tymon Ochedzan,0.9804081632653061,0.9769944341372913,0.9855287569573283,2232.0
Semyon Puzyrevsky,0.9650463821892393,0.9766233766233766,0.9476808905380334,2911.0
Yoav Milikow,0.9749165120593692,0.976252319109462,0.9729128014842301,2756.0
Zahar Efimenko,0.9792949907235622,0.9758812615955473,0.9844155844155844,2764.0
Gunnar Lund,0.9484972170686456,0.9755102040816327,0.9079777365491651,2827.0
