,Name,ELO,SVM_Distance,Similarity_Score,Rank_Percentile
182,Ali Farahat,2616.0,6.1459741177445215,0.99786249050482,1.0
1053,Ivan Provotorov,2569.0,5.815942748026472,0.9970291821316671,0.9996289424860854
2677,Николай Хныкин,2201.0,5.802515245937394,0.9969891433648624,0.9992578849721707
492,ChessyInstinct,2341.0,5.649090342258694,0.9964916340001602,0.9988868274582561
737,Emilio Cordova,2890.0,5.64135029663414,0.9964644701049779,0.9985157699443413
1960,Raja Rithvik R,2919.0,5.554598070307839,0.9961452927918605,0.9981447124304267
936,Haik Martirosyan,3001.0,5.488177686315956,0.9958816576236621,0.997773654916512
543,Daniel Chan,2818.0,5.408573002448532,0.9955419375326872,0.9974025974025974
2191,Shawn Rodrigue-Lemieux,2903.0,5.396106018562761,0.9954862634842335,0.9970315398886828
756,Erick Zhao,2827.0,5.379639262932963,0.9954116654148769,0.9966604823747681
106,Alessandro Manzone,2800.0,5.313320713104246,0.9950985988488008,0.9962894248608535
502,Christof Sielecki,2608.0,5.313108948812142,0.9950975658861282,0.9959183673469387
2232,Srishti Pandey,2525.0,5.272768500455691,0.9948967861962814,0.9955473098330241
1974,Rashad Zeynalli,2763.0,5.2454833948164366,0.9947563676448953,0.9951762523191094
1507,Mariia Berdnyk,2488.0,5.208660784222491,0.9945607542494924,0.9948051948051948
602,David Zakarian,2609.0,5.171705672939383,0.994357141482544,0.9944341372912802
2475,Vojtěch Plát,2886.0,5.136670378967447,0.9941571138564295,0.9940630797773655
1884,Pavel Ponkratov,2873.0,5.125563822658038,0.994092243315145,0.9936920222634509
847,Fy Antenaina Rakotomaharo,2781.0,5.103970690611393,0.9939640674516745,0.9933209647495361
425,Benny Aizenberg,2621.0,5.103546002377388,0.9939615190000086,0.9929499072356215
1776,Nisha Mohota,2318.0,5.102770483650876,0.9939568625393018,0.9925788497217068
1623,Michel Bifulco,2364.0,5.046286621432055,0.9936079432663889,0.9922077922077922
1703,Nad Titus Petre,2610.0,5.000678910635597,0.9933116610008261,0.9918367346938776
113,Alex Goldin,2654.0,4.991753898098877,0.993252104922908,0.9914656771799629
1224,Julian Antonio Rojas Alarcon,2802.0,4.927887503074678,0.9928102810184781,0.9910946196660483
666,Dmitry MIschuk,2814.0,4.922535630254736,0.9927719782757544,0.9907235621521335
2601,kamran SHIRAZI,2540.0,4.876131267996366,0.9924312609342422,0.9903525046382189
186,Alikhan Daulet,2709.0,4.865525662669968,0.9923511799507445,0.9899814471243042
2031,Rodion Radzhabov,2693.0,4.845836432058614,0.9922002744713843,0.9896103896103896
2624,vesal hamedi nia,2462.0,4.799892504434639,0.9918365585227937,0.989239332096475
548,Daniel Gormally,2792.0,4.795918363833338,0.9918043177260449,0.9888682745825603
1724,Nazar Firman,2589.0,4.778746970310613,0.9916635545479855,0.9884972170686457
705,Eduardo Marra,2606.0,4.759403646356378,0.99150211394066,0.9881261595547309
1917,Piotr Dobrowolski,2706.0,4.751825902869066,0.9914380279795757,0.9877551020408163
2312,Thomas Rendle,2760.0,4.747105278965017,0.9913978630825687,0.9873840445269016
2684,Руслан Пахомов,2511.0,4.7466617948222245,0.9913940801633023,0.987012987012987
2471,Vladyslav Baziuk,2800.0,4.745449162955654,0.9913837279930504,0.9866419294990724
560,Daniel Titichoca Daza,2580.0,4.72411176958101,0.9911995390945112,0.9862708719851577
1159,John S. White,1948.0,4.717276683984308,0.9911397159385917,0.9858998144712431
1147,Joakim Nilsson,2631.0,4.703636509465389,0.9910191249372844,0.9855287569573283
1781,Nitish Belurkar,2790.0,4.687419827277982,0.9908736376316634,0.9851576994434137
475,Carlos Daniel Albornoz Cabrera,2819.0,4.679626134789289,0.9908028884017943,0.984786641929499
71,Aleexeey Sueetin,2458.0,4.673381275170034,0.9907458071959252,0.9844155844155844
998,Igor Wilk,2633.0,4.6694928227973405,0.9907100875987304,0.9840445269016698
2143,Semen Mitusov,2709.0,4.626972884305711,0.9903104729304603,0.9836734693877551
2286,Tanraj Sohal,2528.0,4.625717132660934,0.990298415767469,0.9833024118738405
439,Bogdan Belyakov,2710.0,4.618770894162878,0.9902314522442532,0.9829313543599257
2271,Sweafty,2633.0,4.6105141670872944,0.9901512597656725,0.9825602968460111
776,Evandro Amorim Barbosa,2797.0,4.597820925167089,0.9900267052814307,0.9821892393320965
1438,Maciej Czopor,2816.0,4.594215209118587,0.9899910400828534,0.9818181818181818
399,Babageldi Annaberdiyev,2744.0,4.569683461950365,0.9897450154204498,0.9814471243042672
1078,Jake Shanty,3079.0,4.553841880577909,0.9895829724279337,0.9810760667903525
1692,Mukhammadzokhid Suyarov,3094.0,4.5518591875898045,0.9895625139590906,0.9807050092764379
1646,Mikhail Chernov,2512.0,4.542564342838923,0.9894660735888328,0.9803339517625231
1585,Maxime Lagarde,3016.0,4.535719996067335,0.9893944957051094,0.9799628942486085
2333,Tobias Voege,2744.0,4.524448277028804,0.9892755664541347,0.9795918367346939
1024,Irina Bulmaga,2606.0,4.519505303181652,0.9892229973380626,0.9792207792207792
260,Andrey Ivanov,2360.0,4.516258283746622,0.9891883262770058,0.9788497217068646
128,Alexander Herbrig,2577.0,4.480272504159529,0.9887966128462886,0.9784786641929499
1638,Mikayel Rostomyan,2819.0,4.473921442080136,0.9887260377436015,0.9781076066790353
1789,Novendra Priasmoro,2900.0,4.463387696717315,0.9886080130449701,0.9777365491651205
798,Fabiano Caruana,3171.0,4.460407568206903,0.9885744012954003,0.9773654916512059
2356,Tymon Ochedzan,2232.0,4.451805783590889,0.9884768342353476,0.9769944341372913
2146,Semyon Puzyrevsky,2911.0,4.446940832452152,0.9884212886916833,0.9766233766233766
2533,Yoav Milikow,2756.0,4.443426982959953,0.9883810048372619,0.976252319109462
2552,Zahar Efimenko,2764.0,4.441747941175509,0.9883617069112924,0.9758812615955473
931,Gunnar Lund,2827.0,4.438138024247778,0.9883201093137145,0.9755102040816327
8,Aarav Dengla,2871.0,4.429181554268236,0.9882162670909685,0.975139146567718
2399,Vasilii Titarov,2544.0,4.426316741494996,0.9881828599979695,0.9747680890538033
1475,Marcel Petersen,2703.0,4.412916496993904,0.9880253506742975,0.9743970315398887
1101,Jan Malek,2912.0,4.40384618563987,0.9879175610925918,0.974025974025974
1393,Loay Sameer,2607.0,4.3401199227505325,0.9871327591127371,0.9736549165120594
2371,Vaclav Finek,2958.0,4.337036056371956,0.9870935299432336,0.9732838589981447
2557,Zarina Shafigullina,2446.0,4.332392889698778,0.9870342425149508,0.9729128014842301
2242,Stefan Mladenovic,2679.0,4.305496916469781,0.9866854899774954,0.9725417439703155
205,Alvaro Blanco Fernandez,2320.0,4.3035891686959244,0.9866604041649771,0.9721706864564007
1932,Pranesh M,3196.0,4.245349406154102,0.9858717426187524,0.9717996289424861
1351,Leandro Formes De Arruda,2401.0,4.243603623948917,0.9858474055927982,0.9714285714285714
1506,Marie Sebag,2667.0,4.227571517309721,0.9856219697288919,0.9710575139146568
1084,Jakub Chyży,2587.0,4.226858634516401,0.9856118637529935,0.9706864564007421
1790,Noël Studer,2650.0,4.1868911250204865,0.985033939975331,0.9703153988868275
1766,Nikolay Milchev,2570.0,4.186316358184823,0.9850254643557292,0.9699443413729129
2243,Stefanos Kazantzoglou,2538.0,4.174437655443298,0.9848492366805767,0.9695732838589981
660,Dmitry Frolyanov,2670.0,4.17359631140591,0.9848366776806529,0.9692022263450835
802,Farid Orujov,2821.0,4.168749214326193,0.9847641236971589,0.9688311688311688
343,Artem Koval,2619.0,4.1675701485642405,0.9847464231808521,0.9684601113172542
2678,Олег Губанов,2465.0,4.1665995279413535,0.9847318367186211,0.9680890538033395
2584,anushurvan graf,2365.0,4.151298953720768,0.9845000775127285,0.9677179962894249
1644,Mikhail Antipov,2987.0,4.141333298846692,0.9843472683060117,0.9673469387755103
265,Andrey Tsvetkov,2961.0,4.140522630489735,0.9843347728463725,0.9669758812615955
2630,x-5963514717,2620.0,4.135374767471036,0.9842551954513128,0.9666048237476809
2298,ThaKanielOutis,2498.0,4.1207887935737615,0.9840275541188059,0.9662337662337662
11,Aarit Kapil,2731.0,4.1168555204608195,0.983965615740474,0.9658627087198516
932,Gustavo Eduardo Nunez V,2235.0,4.10806003924998,0.9838262546247132,0.9654916512059369
32,Aditya Mittal,3004.0,4.099320917441564,0.9836866067884708,0.9651205936920223
