Name,Solid_Style_Prob,Solid_Style_Score
Alain Fayard,0.36579628065344033,0.3388
Alain Otero Marino,0.13361496339545648,0.0813
Alain Prieto Aranguren,0.33061826629165697,0.2987
Alan Morris-Suzuki,0.2295204227184461,0.1733
Alan Pichot,0.8535886758720433,0.9306
Alba De Lomas Busquets,0.48223645395423687,0.5043
Alban alban1987@hotmail.com,0.3448911999721906,0.3165
Albert Fishman,0.5545875630699874,0.6071
Alberto Barp,0.7746198309344974,0.8623
Alberto Fabris,0.4778259515192344,0.4965
Alberto Guzman Moneo,0.7360833017718115,0.8212
Alberto Martin Fuentes,0.6773531024230742,0.7596
Alberto Santos Flores,0.9118794511846329,0.9688
Aleexeey Sueetin,0.46107744970785747,0.4716
Alejandro Castellanos Gómez,0.1550785908474007,0.0991
Alejandro Castellanos Villela,0.2547491589116643,0.2085
Alejandro Cosoi Scherzer,0.5459271002861352,0.5952
Alejandro Cuellar Montes,0.1163934935449491,0.0664
Alejandro Domingo Nunez,0.2582725881062526,0.213
Alejandro Garcia Garcia,0.355023388107058,0.3291
Alejandro González Vega,0.7656874290906702,0.8549
Alejandro Pacheco,0.2567772809752766,0.2119
Alejandro Uzcategui Rodriguez,0.472429523710084,0.4865
Alekhine Nouri,0.03851398701093499,0.0082
Aleksa Micic,0.6276466500063308,0.7006
Aleksa Petrovic,0.5504732331234244,0.6011
Aleksandar Indjic,0.4584780912039698,0.4668
Aleksandar Topalov,0.3877393440466309,0.3662
Aleksander Hnydiuk,0.5745377481756255,0.633
Aleksander Kumala,0.24631602976439773,0.1974
Aleksandr Devaev,0.31595066701572766,0.2816
Aleksandr Domalchuk-Jonasson,0.6775828086658688,0.7603
Aleksandr Ivanov,0.2968360081521837,0.259
Aleksandr Lenderman,0.9795560821175077,0.9993
Aleksandr Rakhmanov,0.8770372421057921,0.9473
Aleksandr Shimanov,0.5414816127783911,0.5896
Aleksandr Usov,0.9333999754880408,0.9822
Aleksandra Goryachkina,0.8095359501521742,0.898
Aleksandra Lach,0.33192389267814554,0.3013
Aleksandra Maltsevskaya,0.10558001300241777,0.0564
Aleksandra Tarnowska,0.4252226705486398,0.4193
Aleksandras Jegorovas,0.48446449113932194,0.508
Aleksei Belov,0.47876650955668126,0.4976
Aleksei Pridorozhni,0.5594472384577955,0.613
Aleksei Sarana,0.5942188834554826,0.6601
Aleksey Sorokin,0.8016139529701565,0.8913
Alen Yeremyan,0.07517273098939078,0.0286
Alena Nikulina,0.4046968350062186,0.39
Alessandro Manzone,0.519844857855994,0.5573
Alessio Boraso,0.7459338202679149,0.8338
Alex Arias Igual,0.5872869606371709,0.6486
Alex Bullen,0.4124042513433338,0.403
Alex Fier,0.046840886642250903,0.0122
Alex Fishbein,0.9190419612593839,0.9733
Alex Garrido Outon,0.06720346246300563,0.0215
Alex Goldin,0.5519422198445085,0.6026
Alex Jian,0.20476256164908202,0.1447
Alex King,0.9321436044645199,0.9818
Alex Krstulovic,0.42286852115981544,0.4137
Alex Ostrovskiy,0.5594605702742588,0.6134
Alex Sahakyan,0.8869531315792003,0.9562
Alex Truskavetsky,0.37025738001724456,0.3451
Alex Villa Tornero,0.48059631174776085,0.502
Alex Wang,0.5016709992796571,0.5325
Alexander A. Chernov,0.650311072028317,0.7258
Alexander Alexikov,0.5230524969056481,0.5629
Alexander Donchenko,0.7372951458967458,0.823
Alexander Fikiet,0.6066154023584879,0.6772
Alexander Gelman,0.2696522462116239,0.2263
Alexander Grischuk,0.9554482572819959,0.9904
Alexander Herbrig,0.7172905772064986,0.8078
Alexander Hernandez Jimenez,0.6971626757051838,0.7822
Alexander Jasinski,0.4494590982935035,0.4519
Alexander Katz,0.11693896715031057,0.0668
Alexander Khlebovich,0.9191722422262967,0.974
Alexander Khripachenko,0.6485046458460075,0.7247
Alexander Mikhnenko,0.4742860847218481,0.4887
Alexander Moskalenko,0.8605790086118908,0.9343
Alexander Reprintsev,0.7017433894819147,0.7878
Alexander Rustemov,0.8057537005954305,0.8946
Alexander Spichkin,0.3485402252906442,0.3224
Alexander Suvorov,0.41930097920876797,0.4104
Alexander Timerkhanov,0.6252699056981059,0.6968
Alexander Velikanov,0.18078232829085514,0.1236
Alexander Zlatin,0.8019883684663892,0.8917
Alexander Zubov,0.7612354738054296,0.8508
Alexandr A Smirnov,0.4592397081401174,0.4686
Alexandr Kostiukov,0.6187282533324534,0.6879
Alexandr Provotorov,0.7158716629029801,0.8059
Alexandr Triapishko,0.970040910896342,0.9959
Alexandra Afanasieva,0.6241706607264552,0.6942
Alexandra Kosteniuk,0.6882970653133309,0.7718
Alexandra Obolentseva,0.47526300094148094,0.4902
Alexandra Prado,0.28993823211010294,0.2512
Alexandra Samaganova,0.13516369720700444,0.0824
Alexandra Shvedova,0.14002821804477078,0.0879
Alexandra Zherebtsova,0.36289057782907286,0.3354
Alexandre Bouget,0.1897142604467419,0.1302
Alexandre Qashashvili,0.7388246622080724,0.8256
Alexandros Papasimakopoulos,0.6444397932867124,0.7184
Alexandru Calin,0.3476248845842714,0.3199
Alexandru-Bogdan Banzea,0.8206386905069527,0.9076
Alexei Gubajdullin,0.22760687757834286,0.1711
Alexei Kornev,0.611511094394827,0.6805
Alexei Saveliev,0.06982398149774274,0.0241
Alexei Shirov,0.7172142922399236,0.8074
Alexey Chos,0.36765156253395836,0.3417
Alexey Dreev,0.9704670341257426,0.9963
Alexey Evdokimov,0.4632815538249833,0.4738
Alexey Jarovinsky,0.8965991950875145,0.9629
Alexey Kislinsky,0.26268724917814323,0.2182
Alexey Kolmagorov,0.2793772419516608,0.2404
Alexey Kornyukov,0.3975931083988226,0.3796
Alexey Kovalchuk,0.8825727534794648,0.9518
Alexey Reshetnikov,0.6202902364653318,0.6917
Alexey Slavin,0.41713094120730004,0.4074
Alexey Streltsov,0.8693297580454992,0.9388
Alexey Zhuravlev,0.20412390381627277,0.1436
Alfeu Junior Varela Bueno,0.3844527559652427,0.3633
Alfie Onslow,0.38867843462172047,0.3688
Alfonso Llorente Zaro,0.9095819001906003,0.9677
Alfredo Cecilio Miserendino,0.4364709550141429,0.4345
Algol Jorajuria,0.43012308085826884,0.4263
Ali Elier,0.21859705813404587,0.1614
Ali Farahat,0.7593414189966681,0.8464
Ali Mortazavi,0.0604087402443592,0.0178
Ali Rastbod,0.7328259143920052,0.8197
Alicja Sliwicka,0.330420747201387,0.2983
Alikhan Daulet,0.5611352695312075,0.6167
Alikhan Khazhatuly,0.654921394028019,0.7328
Alikhon Avazkhonov,0.25297255030458865,0.2063
Alina Kashlinskaya,0.20418146052457958,0.144
Alina Semenova,0.34814996903011186,0.3217
Alireza Firouzja,0.5595295829055001,0.6141
Alisa Genrietta Yunker,0.11095686599658253,0.062
Aljoscha Feuerstack,0.3701158325717966,0.3447
Alkhoori Eisa Mohmood,0.387179154562014,0.3655
Allahverdi Hamidov,0.7524112179345475,0.8408
Alma Jaqueline Mora Velasco,0.2434017206059506,0.1937
Almas Rakhmatullaev,0.027920986434717427,0.0048
Alon Mindlin,0.7164321545704639,0.8067
Alopekos,0.4658445654792141,0.4761
Altay Eynullayev,0.4377425321423244,0.436
Alua Nurman,0.018145760273435813,0.0011
Alvar Alonso Rosell,0.2634782352568961,0.2197
Alvaro Alves De Almeida Junior,0.4776451961882505,0.4957
Alvaro Bayo,0.6812408319326991,0.7633
Alvaro Blanco Fernandez,0.47262165099234227,0.4868
Alvaro Donatti,0.42530719958438273,0.4197
Alvaro Rodriguez,0.8903144750916919,0.9588
Aman Hambleton,0.8863350647556174,0.9555
Amani Alazmi,0.09092420065611703,0.0427
Ameet Ghasi,0.3651954884087003,0.3384
Amelia Hernandez,0.41755016215554674,0.4078
Amgalantengis Enkh-Amgalan,0.5588091849911215,0.6122
Amin Tabatabaei,0.8335263588720963,0.9173
Amina Kairbekova,0.31433215801934644,0.2794
Amir Ali Ghafourian,0.6038522187427043,0.6727
Amir hosein Kashefi,0.7083363261014016,0.797
Ana Kuchava,0.6297025979862543,0.7032
Anastasia Avramidou,0.3465931164326041,0.3187
Anastasia Bodnaruk,0.13777963524407277,0.0853
Anastasia Travkina,0.16271742878245773,0.108
Anastasiia Hnatyshyn,0.4409499420641182,0.4408
Anastasios Mihailidis,0.7536426879804738,0.8419
Anastassia Sinitsina,0.45766788442644624,0.4649
Anatole Vlachos,0.36658998898807943,0.3395
Anatoliy Emeliantsev,0.29006294824267437,0.2516
Anatoliy Shapkin,0.9252642746989519,0.9759
Anatoly Bykhovsky,0.4295419466509728,0.4241
Anatoly Donskov,0.26944388317597956,0.226
Anatoly Krutko,0.668210170224915,0.7503
Anatoly Moskvin,0.4210902829647547,0.4126
Anderson Esmeraldas,0.6458713628565936,0.7217
Andre Bold,0.6862373138279717,0.7692
Andre Kunz,0.27500455786304023,0.236
Andre Mendez Machado,0.21911307432931,0.1622
Andreas Brenke,0.4454307514083312,0.4475
Andreas Mende,0.37742070900844643,0.3555
Andreas Skotheim,0.7163030568176001,0.8063
Andrei Belozerov,0.6773130639994246,0.7592
Andrei Ioan Trifan,0.8741253005386227,0.9436
Andrei Macovei,0.4425877355045566,0.4445
Andrei Negrean,0.6509401129011823,0.7265
Andrei Olhovik,0.5355434776337152,0.58
Andrei Purygin,0.8074172353382745,0.8965
Andrei Shishkov,0.9390463253745919,0.984
Andrei Skvortsov,0.6734161841593391,0.7558
Andrei-Mihai Bonte,0.6173063999641165,0.6865
Andrej,0.09100031043608935,0.043
Andres Carrasco Miranda,0.598717455759602,0.6679
Andres Ferriz Barrios,0.08856689885524975,0.039
Andrew Green,0.6441795115345407,0.7176
Andrew Hong,0.29727124047694053,0.2597
Andrew Jing,0.39342980248604564,0.3737
Andrew Tang,0.0913254781171319,0.0434
Andrew Titus,0.5868106386947222,0.6475
Andrew Wu,0.22836617570069798,0.1722
Andrey Drygalov,0.5620983996301228,0.6182
Andrey Esipenko,0.20315932852016502,0.1421
Andrey Gonzalez Zharikov,0.7835028249161529,0.8738
Andrey Gorovets,0.6262963785940736,0.6983
Andrey Ivanov,0.11154141775959603,0.0627
Andrey Klymchuk,0.6910387791069597,0.7755
Andrey Levitskiy,0.664342712006685,0.7477
Andrey Marcelo Souza Neves,0.7757434027985748,0.8646
Andrey Rychagov,0.47670482755561505,0.4946
Andrey Tsvetkov,0.06082400901074847,0.0182
Andrii Palchuk,0.5380936149170538,0.5829
Andrii Vachylia,0.1415123152823758,0.0891
Andriy Diachek,0.8951081622335322,0.9618
Andriy Prydun,0.5004610229431368,0.5295
