Cluster,Name,ELO
1,4empechement,2522.0
4,AFRUZA Khamdamova,2682.0
3,Aadit Bhatia,2528.0
4,Aaditya Dhingra,2694.0
3,Aakaash Meduri,2519.0
1,Aakash G,2675.0
3,Aansh Nandan Nerurkar,2647.0
1,Aaradhya Das,2479.0
3,Aarav Dengla,2871.0
5,Aarav Sinha,2602.0
3,Aaravamudhan Balaji,2689.0
3,Aarit Kapil,2731.0
3,Aaron Bendayan Claros,2583.0
1,Aaron Cooper,2287.0
2,Aaron Jacobson,3062.0
3,Aaron Matthes,2516.0
3,Aaron Mendes,2804.0
1,Abdimalik Abdisalimov,2783.0
5,Abdulla Gadimbayli,2831.0
5,Abhimanyu Puranik,2989.0
3,Abigail Zhou,2282.0
2,Abtin Atakhan,2923.0
3,Adam Collins,2540.0
2,Adam Gibała,2731.0
3,Adam Kozak,3045.0
5,Adam Kujawski,2406.0
3,Adam Mekhane,2531.0
3,Adani Clarke,2267.0
5,Adar TARHAN,2828.0
3,Adham Fawzy,2973.0
3,Adham_Hossam2011,2327.0
3,Adi Menahem,2523.0
1,Aditya Mittal,3004.0
3,Aditya S Samant,2908.0
3,Aditya Varun Gampa,2687.0
3,Adnan Sitnic,2392.0
3,Adrian Antonio Garcia Garcia,2531.0
3,Adrian Gschnitzer,2540.0
3,Adrian Martinez Fernandez,2586.0
3,Adrian Suarez Uriel,2487.0
1,Adán Rios Escobar,2371.0
1,Aghasiyev Kamal,2646.0
1,Agustin Ambrogi,2545.0
1,Agustin Fuentes,2298.0
4,Ahmad Ahmadzada,2961.0
3,Ahmad Al khatib,2726.0
4,Ahmed Kandil,2718.0
3,Ahn Hongjin,2750.0
3,Aiaru Altynbek,2555.0
3,Airat Sadubayev,2715.0
3,Aisen Mestnikov,2378.0
3,Ajay Karthikeyan,2806.0
1,Akeem Brown,2422.0
1,Akhmedov_David,2777.0
3,Aksel Bu Kvaloy,2924.0
2,Akshay Borgaonkar,2833.0
1,Akylbek2021,2503.0
1,Al-Saffar Araz Basim,2564.0
1,Alain Fayard,2309.0
3,Alain Otero Marino,2645.0
3,Alain Prieto Aranguren,2266.0
1,Alan Morris-Suzuki,2694.0
2,Alan Pichot,3007.0
3,Alba De Lomas Busquets,2356.0
1,Alban alban1987@hotmail.com,2110.0
3,Albert Fishman,2304.0
1,Alberto Barp,2711.0
3,Alberto Fabris,2251.0
3,Alberto Guzman Moneo,2347.0
3,Alberto Martin Fuentes,2786.0
3,Alberto Santos Flores,2550.0
1,Aleexeey Sueetin,2458.0
1,Alejandro Castellanos Gómez,2525.0
1,Alejandro Castellanos Villela,2802.0
5,Alejandro Cosoi Scherzer,2084.0
1,Alejandro Cuellar Montes,2562.0
2,Alejandro Domingo Nunez,2632.0
1,Alejandro Garcia Garcia,2624.0
1,Alejandro González Vega,2341.0
1,Alejandro Pacheco,2577.0
3,Alejandro Uzcategui Rodriguez,2527.0
3,Alekhine Nouri,2832.0
4,Aleksa Micic,2380.0
1,Aleksa Petrovic,2732.0
1,Aleksandar Indjic,2998.0
1,Aleksandar Topalov,2382.0
1,Aleksander Hnydiuk,2529.0
3,Aleksander Kumala,2553.0
1,Aleksandr Devaev,2547.0
3,Aleksandr Domalchuk-Jonasson,2817.0
1,Aleksandr Ivanov,2339.0
3,Aleksandr Lenderman,2913.0
3,Aleksandr Rakhmanov,2912.0
2,Aleksandr Shimanov,3053.0
3,Aleksandr Usov,2966.0
1,Aleksandra Goryachkina,2720.0
3,Aleksandra Lach,2489.0
